6,6,3,4,2,4,6,2,4,4,6,3,2,5,5,0,3,6,0,6,3,0,5,5,5,5,3,4,4,4,4,3,6,4,3,8,6,0,0,2,0,2,4,4,3,3,6,6,3,4,5,5,4,1,2,7,2,3,3,8,5,7,4,3,3,4,5,9,10,4,4,1,3,6,2,6,2,3,8,6,4,4,4,2,6,6,5,7,5,3,2,3,6,3,4,2,4,3,7,5,7,3,5,2,7,4,4,3,1,5,3,5,3,5,2,5,3,6,2,5,3,9,4,5,0,5,5,3,4,0,7,4,4,6,0,0,6,4,6,5,2,3,2,2,1,4,6,2,5,2,0,4,8,5,6,2,4,1,5,6,5,4,5,3,2,3,3,4,2,4,4,4,4,5,2,8,6,5,3,0,2,6,0,0,3,6,3,6,8,3,3,2,4,0,4,3,4,7,4,4,3,4,5,2,4,3,0,2,4,3,7,3,5,5,5,2,3,7,4,6,15,8,5,7,4,5,4,5,5,6,4,5,3,4,2,3,2,7,3,4,7,6,2,5,4,3,3,4,4,5,4,3,3,4,4,2,6,4,3,7,5,5,3,4,4,6,2,5,4,10,4,5,4,3,2,4,4,3,5,1,6,2,1,2,5,9,2,9,1,0,3,2,5,2,7,5,10,3,2,3,4,4,5,4,3,4,6,3,3,4,1,6,4,3,3,4,7,2,7,2,6,3,0,4,2,9,6,2,6,3,5,4,4,3,5,0,8,4,1,5,0,1,4,3,6,7,6,4,3,2,3,4,4,1,4,3,8,10,2,7,2,8,7,6,3,4,3,5,3,5,2,7,2,4,4,6,0,4,6,2,3,6,2,2,10,5,2,3,5,3,4,7,4,0,3,2,6,3,6,4,9,3,2,0,6,6,5,5,6,3,4,4,5,6,2,2,3,0,3,5,5,3,3,2,3,5,6,5,4,4,2,8,4,3,5,0,8,2,3,3,0,7,4,3,4,10,4,7,3,1,0,5,3,8,3,4,6,3,2,3,0,4,8,3,4,2,2,5,3,4,5,4,10,4,0,1,7,2,4,5,6,2,1,2,4,12,0,0,2,0,2,2,5,4,5,2,0,5,2,9,4,8,1,5,3,1,7,5,3,5,3,2,4,7,5,4,7,4,0,6,4,4,1,0,3,2,2,5,4,4,2,2,2,5,4,2,5,3,0,9,9,4,3,1,3,5,2,3,5,2,5,1,8,6,3,2,4,3,2,5,5,5,6,6,5,7,3,5,5,5,3,0,2,5,6,6,7,4,4,3,2,5,5,3,2,4,4,3,4,3,3,2,3,6,2,2,3,7,5,7,5,5,3,4,3,2,6,4,5,4,6,1,3,3,5,5,5,5,2,7,5,3,0,4,4,3,4,5,4,2,4,2,2,4,4,3,6,4,0,12,4,3,6,4,2,3,3,7,4,0,2,4,4,0,0,4,2,3,3,5,4,3,5,4,3,4,4,4,4,5,5,4,0,1,3,3,3,3,3,4,4,6,3,5,3,4,5,3,5,3,2,4,4,0,3,4,3,3,2,2,3,5,2,3,3,4,5,2,4,3,0,2,3,5,4,2,2,3,7,3,4,2,6,5,5,5,3,9,4,4,6,3,5,7,2,2,4,2,3,4,7,6,5,1,5,4,3,5,5,9,5,7,4,3,2,9,3,4,3,3,3,3,5,2,4,6,3,2,4,5,2,6,7,2,6,3,5,6,4,3,5,3,4,4,9,3,5,5,7,2,6,9,5,4,5,4,6,5,4,7
0,12,1,1,2,0,3,0,1,1,4,0,1,0,0,0,10,0,3,9,1,1,0,2,2,1,1,1,0,0,0,2,0,1,2,1,1,1,3,1,2,1,0,0,0,3,0,0,2,1,0,0,0,1,0,0,5,0,0,0,1,0,0,2,0,1,0,0,1,1,0,2,1,2,1,1,1,0,3,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,2,2,1,2,1,1,0,1,1,3,2,1,0,0,0,1,2,0,3,0,1,3,1,4,2,0,0,0,1,1,0,1,8,0,0,3,0,6,1,1,1,1,0,2,0,3,3,3,1,0,2,0,0,3,1,1,0,1,0,0,0,0,0,0,3,1,0,1,1,1,1,0,0,3,0,2,0,0,2,2,1,1,4,1,2,1,2,9,2,1,2,0,0,5,0,1,3,0,0,1,0,0,1,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23,0,0,0,1,0,0,1,0,1,1,0,0,1,3,1,2,3,0,1,1,2,0,0,15,1,1,0,0,1,0,1,0,0,1,2,2,1,2,1,5,0,0,1,0,0,1,0,2,9,0,1,0,1,1,0,0,2,0,2,6,0,1,2,1,0,2,0,1,1,0,2,0,1,0,0,1,2,1,1,0,0,0,3,3,1,0,1,2,2,2,1,0,1,20,2,1,1,1,1,0,0,2,0,0,0,3,0,0,1,5,0,0,0,0,2,3,0,2,0,1,2,0,0,1,0,0,0,0,0,0,0,1,3,1,1,0,1,2,2,0,2,0,2,2,0,0,0,1,0,2,0,1,0,1,0,1,0,1,1,0,7,6,0,0,0,0,1,0,0,0,1,2,2,2,2,0,0,1,1,6,0,0,3,1,0,10,3,1,0,0,1,0,3,1,2,0,0,2,0,5,0,3,1,0,0,0,0,0,0,0,5,0,1,0,2,2,0,4,0,0,11,0,0,0,7,3,8,2,1,2,0,0,1,1,6,0,0,2,2,2,1,1,1,1,2,1,0,2,1,2,0,0,1,2,2,0,2,5,1,2,1,2,0,0,2,18,1,0,1,0,12,0,1,0,3,1,0,16,1,0,1,2,0,0,2,133,3,0,0,2,3,0,1,1,0,3,0,2,1,0,0,1,2,16,2,1,0,1,0,0,1,0,1,0,3,2,2,1,2,3,1,3,1,1,0,1,4,0,1,38,2,2,4,2,1,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,1,2,0,4,1,1,1,2,1,2,0,1,3,1,1,0,1,1,2,1,2,0,8,2,1,2,8,0,0,1,0,0,2,3,2,12,12,1,3,0,2,1,0,0,0,0,0,0,2,0,1,4,1,0,3,0,2,0,1,1,0,3,0,1,0,0,0,3,12,1,10,0,0,1,0,0,2,1,0,3,0,0,2,2,1,1,1,0,1,0,2,0,1,1,19,7,1,1,0,0,1,1,1,0,0,1,0,1,0,2,1,0,3,0,0,0,0,0,3,0,0,0,2,0,0,2,1,0,2,0,0,0,0,1,2,0,3,0,1,1,1,3,1,0,3,1,1,2,1,1,0,1,0,2,1,0,2,1,0,0,0,0,0,0,0,6,1,3,0,1,0,0,1,0,1,1,0,1,6,2,0,1,2,1,3,1,1,1,0,0,1,0,2,0,2,0,1,0,0,0,0,2,3,1,0,0,0,17,1,1,0,0,1,5,1,0,4,0,1,0,0,5,0,0,4,0,0,0,2
6,18,4,5,4,4,9,2,5,5,10,3,3,5,5,0,13,6,3,15,4,1,5,7,7,6,4,5,4,4,4,5,6,5,5,9,7,1,3,3,2,3,4,4,3,6,6,6,5,5,5,5,4,2,2,7,7,3,3,8,6,7,4,5,3,5,5,9,11,5,4,3,4,8,3,7,3,3,11,6,4,5,4,3,6,7,5,7,5,3,3,3,7,3,5,3,4,4,8,6,9,5,6,4,8,5,4,4,2,8,5,6,3,5,2,6,5,6,5,5,4,12,5,9,2,5,5,3,5,1,7,5,12,6,0,3,6,10,7,6,3,4,2,4,1,7,9,5,6,2,2,4,8,8,7,3,4,2,5,6,5,4,5,3,5,4,3,5,3,5,5,4,4,8,2,10,6,5,5,2,3,7,4,1,5,7,5,15,10,4,5,2,4,5,4,4,7,7,4,5,3,4,6,5,4,3,1,3,4,3,7,4,5,5,5,2,3,7,4,6,38,8,5,7,5,5,4,6,5,7,5,5,3,5,5,4,4,10,3,5,8,8,2,5,19,4,4,4,4,6,4,4,3,4,5,4,8,5,5,8,10,5,3,5,4,6,3,5,6,19,4,6,4,4,3,4,4,5,5,3,12,2,2,4,6,9,4,9,2,1,3,4,5,3,7,5,11,5,3,4,4,4,5,7,6,5,6,4,5,6,3,7,4,4,23,6,8,3,8,3,6,3,2,4,2,9,9,2,6,4,10,4,4,3,5,2,11,4,3,5,1,3,4,3,7,7,6,4,3,2,3,4,5,4,5,4,8,11,4,9,2,10,7,8,5,4,3,5,4,5,4,7,3,4,5,6,1,4,7,3,3,13,8,2,10,5,2,4,5,3,4,8,6,2,5,4,6,3,7,5,15,3,2,3,7,6,15,8,7,3,4,5,5,9,3,4,3,0,5,5,10,3,6,3,3,5,6,5,4,4,2,13,4,4,5,2,10,2,7,3,0,18,4,3,4,17,7,15,5,2,2,5,3,9,4,10,6,3,4,5,2,5,9,4,5,4,3,5,5,5,7,4,10,5,2,3,7,4,9,6,8,3,3,2,4,14,18,1,2,1,2,14,5,5,5,5,1,5,18,10,4,9,3,5,3,3,140,8,3,5,5,5,4,8,6,4,10,4,2,7,4,4,2,2,19,4,3,5,5,4,2,3,2,6,4,5,7,5,1,11,12,5,6,2,4,5,3,7,5,3,43,3,10,10,5,3,4,3,2,5,5,5,6,6,5,9,3,5,6,7,3,1,4,5,10,7,8,5,6,4,4,5,6,6,3,5,4,4,5,5,4,4,3,14,4,3,5,15,5,7,6,5,3,6,6,4,18,16,6,7,6,3,4,3,5,5,5,5,2,9,5,4,4,5,4,6,4,7,4,3,5,2,5,4,5,3,6,4,3,24,5,13,6,4,3,3,3,9,5,0,5,4,4,2,2,5,3,4,3,6,4,5,5,5,4,23,11,5,5,5,5,5,1,2,3,3,4,3,4,4,6,7,3,8,3,4,5,3,5,6,2,4,4,2,3,4,5,4,2,4,3,5,2,3,4,6,5,5,4,4,1,3,6,6,4,5,3,4,9,4,5,2,7,5,7,6,3,11,5,4,6,3,5,7,2,2,10,3,6,4,8,6,5,2,5,5,4,5,6,15,7,7,5,5,3,12,4,5,4,3,3,4,5,4,4,8,3,3,4,5,2,6,9,5,7,3,5,6,21,4,6,3,4,5,14,4,5,9,7,3,6,9,10,4,5,8,6,5,4,9
1.0,0.333333333333,0.75,0.8,0.5,1.0,0.666666666667,1.0,0.8,0.8,0.6,1.0,0.666666666667,1.0,1.0,0,0.230769230769,1.0,0.0,0.4,0.75,0.0,1.0,0.714285714286,0.714285714286,0.833333333333,0.75,0.8,1.0,1.0,1.0,0.6,1.0,0.8,0.6,0.888888888889,0.857142857143,0.0,0.0,0.666666666667,0.0,0.666666666667,1.0,1.0,1.0,0.5,1.0,1.0,0.6,0.8,1.0,1.0,1.0,0.5,1.0,1.0,0.285714285714,1.0,1.0,1.0,0.833333333333,1.0,1.0,0.6,1.0,0.8,1.0,1.0,0.909090909091,0.8,1.0,0.333333333333,0.75,0.75,0.666666666667,0.857142857143,0.666666666667,1.0,0.727272727273,1.0,1.0,0.8,1.0,0.666666666667,1.0,0.857142857143,1.0,1.0,1.0,1.0,0.666666666667,1.0,0.857142857143,1.0,0.8,0.666666666667,1.0,0.75,0.875,0.833333333333,0.777777777778,0.6,0.833333333333,0.5,0.875,0.8,1.0,0.75,0.5,0.625,0.6,0.833333333333,1.0,1.0,1.0,0.833333333333,0.6,1.0,0.4,1.0,0.75,0.75,0.8,0.555555555556,0.0,1.0,1.0,1.0,0.8,0.0,1.0,0.8,0.333333333333,1.0,0,0.0,1.0,0.4,0.857142857143,0.833333333333,0.666666666667,0.75,1.0,0.5,1.0,0.571428571429,0.666666666667,0.4,0.833333333333,1.0,0.0,1.0,1.0,0.625,0.857142857143,0.666666666667,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.75,1.0,0.8,0.666666666667,0.8,0.8,1.0,1.0,0.625,1.0,0.8,1.0,1.0,0.6,0.0,0.666666666667,0.857142857143,0.0,0.0,0.6,0.857142857143,0.6,0.4,0.8,0.75,0.6,1.0,1.0,0.0,1.0,0.75,0.571428571429,1.0,1.0,0.8,1.0,1.0,0.833333333333,0.4,1.0,1.0,0.0,0.666666666667,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.394736842105,1.0,1.0,1.0,0.8,1.0,1.0,0.833333333333,1.0,0.857142857143,0.8,1.0,1.0,0.8,0.4,0.75,0.5,0.7,1.0,0.8,0.875,0.75,1.0,1.0,0.210526315789,0.75,0.75,1.0,1.0,0.833333333333,1.0,0.75,1.0,1.0,0.8,0.5,0.75,0.8,0.6,0.875,0.5,1.0,1.0,0.8,1.0,1.0,0.666666666667,1.0,0.666666666667,0.526315789474,1.0,0.833333333333,1.0,0.75,0.666666666667,1.0,1.0,0.6,1.0,0.333333333333,0.5,1.0,0.5,0.5,0.833333333333,1.0,0.5,1.0,0.5,0.0,1.0,0.5,1.0,0.666666666667,1.0,1.0,0.909090909091,0.6,0.666666666667,0.75,1.0,1.0,1.0,0.571428571429,0.5,0.8,1.0,0.75,0.6,0.666666666667,0.333333333333,0.857142857143,1.0,0.75,0.130434782609,0.666666666667,0.875,0.666666666667,0.875,0.666666666667,1.0,1.0,0.0,1.0,1.0,1.0,0.666666666667,1.0,1.0,0.75,0.5,1.0,1.0,1.0,1.0,0.0,0.727272727273,1.0,0.333333333333,1.0,0.0,0.333333333333,1.0,1.0,0.857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.25,0.8,0.75,1.0,0.909090909091,0.5,0.777777777778,1.0,0.8,1.0,0.75,0.6,1.0,1.0,1.0,0.75,1.0,0.5,1.0,0.666666666667,1.0,0.8,1.0,0.0,1.0,0.857142857143,0.666666666667,1.0,0.461538461538,0.25,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.875,0.666666666667,0.0,0.6,0.5,1.0,1.0,0.857142857143,0.8,0.6,1.0,1.0,0.0,0.857142857143,1.0,0.333333333333,0.625,0.857142857143,1.0,1.0,0.8,1.0,0.666666666667,0.666666666667,0.5,1.0,0,0.6,1.0,0.5,1.0,0.5,0.666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.615384615385,1.0,0.75,1.0,0.0,0.8,1.0,0.428571428571,1.0,0,0.388888888889,1.0,1.0,1.0,0.588235294118,0.571428571429,0.466666666667,0.6,0.5,0.0,1.0,1.0,0.888888888889,0.75,0.4,1.0,1.0,0.5,0.6,0.0,0.8,0.888888888889,0.75,0.8,0.5,0.666666666667,1.0,0.6,0.8,0.714285714286,1.0,1.0,0.8,0.0,0.333333333333,1.0,0.5,0.444444444444,0.833333333333,0.75,0.666666666667,0.333333333333,1.0,1.0,0.857142857143,0.0,0.0,1.0,0.0,1.0,0.142857142857,1.0,0.8,1.0,0.4,0.0,1.0,0.111111111111,0.9,1.0,0.888888888889,0.333333333333,1.0,1.0,0.333333333333,0.05,0.625,1.0,1.0,0.6,0.4,1.0,0.875,0.833333333333,1.0,0.7,1.0,0.0,0.857142857143,1.0,1.0,0.5,0.0,0.157894736842,0.5,0.666666666667,1.0,0.8,1.0,1.0,0.666666666667,1.0,0.833333333333,1.0,0.4,0.714285714286,0.6,0.0,0.818181818182,0.75,0.8,0.5,0.5,0.75,1.0,0.666666666667,0.428571428571,1.0,0.666666666667,0.116279069767,0.333333333333,0.8,0.6,0.6,0.666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.777777777778,1.0,1.0,0.833333333333,0.714285714286,1.0,0.0,0.5,1.0,0.6,0.857142857143,0.875,0.8,0.666666666667,0.75,0.5,1.0,0.833333333333,0.5,0.666666666667,0.8,1.0,0.75,0.8,0.6,0.75,0.5,1.0,0.428571428571,0.5,0.666666666667,0.6,0.466666666667,1.0,1.0,0.833333333333,1.0,1.0,0.666666666667,0.5,0.5,0.333333333333,0.25,0.833333333333,0.571428571429,1.0,0.333333333333,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.777777777778,1.0,0.75,0.0,0.8,1.0,0.5,1.0,0.714285714286,1.0,0.666666666667,0.8,1.0,0.4,1.0,0.8,1.0,1.0,1.0,0.0,0.5,0.8,0.230769230769,1.0,1.0,0.666666666667,1.0,1.0,0.777777777778,0.8,0,0.4,1.0,1.0,0.0,0.0,0.8,0.666666666667,0.75,1.0,0.833333333333,1.0,0.6,1.0,0.8,0.75,0.173913043478,0.363636363636,0.8,0.8,1.0,1.0,0.8,0.0,0.5,1.0,1.0,0.75,1.0,0.75,1.0,0.666666666667,0.857142857143,1.0,0.625,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.6,0.75,1.0,0.5,1.0,1.0,1.0,1.0,0.75,0.666666666667,1.0,0.4,1.0,0.75,0.0,0.666666666667,0.5,0.833333333333,1.0,0.4,0.666666666667,0.75,0.777777777778,0.75,0.8,1.0,0.857142857143,1.0,0.714285714286,0.833333333333,1.0,0.818181818182,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.666666666667,0.5,1.0,0.875,1.0,1.0,0.5,1.0,0.8,0.75,1.0,0.833333333333,0.6,0.714285714286,1.0,0.8,0.6,0.666666666667,0.75,0.75,0.8,0.75,1.0,1.0,0.75,1.0,0.5,1.0,0.75,1.0,0.666666666667,1.0,1.0,1.0,1.0,0.777777777778,0.4,0.857142857143,1.0,1.0,1.0,0.190476190476,0.75,0.833333333333,1.0,1.0,0.8,0.642857142857,0.75,1.0,0.555555555556,1.0,0.666666666667,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.777777777778
